customer_id,age,income,gender,region,signup_date,tenure_months,monthly_charges,contract_type,payment_method,country,churn
CUST00001,48.0,23992.64,Male,South,2021-01-14,39.0,61.94,Month-to-month,Mailed check,USA,No
CUST00002,40.0,27444.18,Female,West,2022-05-19,24.0,54.12,Two year,Mailed check,USA,No
CUST00003,50.0,52767.29,Female,South,2021-08-19,46.0,85.4,Month-to-month,Bank transfer,USA,No
CUST00004,62.0,49275.64,Female,Southwest,2024-01-13,19.0,32.3,Month-to-month,Mailed check,USA,No
CUST00005,39.0,35937.95,Female,Central,2021-05-10,4.0,21.43,Two year,Credit card,USA,No
CUST00006,39.0,38509.63,Female,North,2023-04-18,26.0,64.88,Month-to-month,Credit card,USA,No
CUST00007,,68791.29,Male,East,2024-03-14,38.0,55.26,One year,,USA,No
CUST00008,52.0,27016.8,Male,Northeast,2023-06-10,42.0,,Two year,Credit card,USA,No
CUST00009,36.0,,Male,Southwest,2021-01-28,32.0,92.29,Two year,,USA,Yes
CUST00010,49.0,32823.62,Female,East,2021-03-07,39.0,78.33,One year,Bank transfer,USA,No
CUST00011,36.0,32570.41,Female,West,2024-04-01,45.0,90.3,Month-to-month,Credit card,USA,No
CUST00012,36.0,62905.47,Male,North,2024-06-06,46.0,73.03,Month-to-month,Bank transfer,USA,No
CUST00013,45.0,54869.24,Male,Pacific,2021-09-18,36.0,77.36,Two year,Credit card,USA,Yes
CUST00014,18.0,54543.55,Non-binary,South,2022-04-05,40.0,62.08,Two year,Electronic check,USA,Yes
CUST00015,20.0,69754.65,,Southwest,2021-10-28,37.0,76.63,Month-to-month,Electronic check,USA,No
CUST00016,35.0,36698.89,Female,West,2023-07-08,33.0,69.17,Month-to-month,,USA,No
CUST00017,29.0,51071.22,Female,West,2024-08-19,36.0,73.13,Month-to-month,Electronic check,USA,No
CUST00018,46.0,31097.0,Female,East,2021-10-14,3.0,60.83,Month-to-month,Bank transfer,Canada,No
CUST00019,30.0,42705.51,Male,South,2023-10-31,9.0,85.22,One year,Bank transfer,USA,No
CUST00020,24.0,34027.64,Female,North,2022-09-22,8.0,47.24,Month-to-month,Mailed check,Canada,No
CUST00021,61.0,38120.14,Female,,2021-09-27,33.0,64.54,Two year,Credit card,USA,No
CUST00022,39.0,48902.24,Female,North,2022-08-15,59.0,97.79,One year,Electronic check,USA,No
CUST00023,43.0,24122.24,Female,Central,2023-04-24,6.0,41.28,Month-to-month,Bank transfer,USA,Yes
CUST00024,,103382.77,Female,South,2023-05-12,41.0,15.0,One year,,USA,No
CUST00025,,21960.29,Female,North,2024-10-16,39.0,74.16,Month-to-month,Credit card,USA,No
CUST00026,43.0,,Male,Pacific,2024-07-04,4.0,58.58,One year,Bank transfer,Canada,No
CUST00027,27.0,64799.65,Female,Southwest,2021-05-13,13.0,90.27,One year,Electronic check,Canada,Yes
CUST00028,47.0,53950.99,Female,Southwest,2024-07-23,49.0,61.74,Two year,Mailed check,USA,No
CUST00029,34.0,49615.57,Male,Pacific,2023-08-30,2.0,49.89,Two year,Credit card,USA,Yes
CUST00030,38.0,49720.51,,North,2022-05-28,5.0,63.1,Month-to-month,Mailed check,USA,Yes
CUST00031,34.0,36093.81,Female,South,2021-11-09,44.0,92.33,Month-to-month,Electronic check,Canada,No
CUST00032,66.0,23187.6,Female,Central,2022-07-30,27.0,79.38,One year,Electronic check,USA,No
CUST00033,,37718.36,Male,West,2023-06-05,32.0,15.0,Month-to-month,Mailed check,USA,Yes
CUST00034,28.0,25885.01,Male,North,2024-07-31,21.0,69.64,Month-to-month,Electronic check,USA,No
CUST00035,53.0,59133.91,Non-binary,Northeast,2024-02-19,8.0,70.89,Month-to-month,Credit card,USA,Yes
CUST00036,26.0,33741.08,Female,South,2024-02-05,,,One year,,USA,Yes
CUST00037,45.0,24034.64,Male,South,2022-11-18,8.0,49.73,Month-to-month,Electronic check,Canada,No
CUST00038,,,Female,East,2024-05-12,50.0,94.86,One year,Mailed check,USA,No
CUST00039,25.0,44643.58,Female,West,2021-06-14,3.0,96.1,Two year,,USA,Yes
CUST00040,45.0,,Female,West,2021-11-01,54.0,15.0,Month-to-month,Electronic check,USA,No
CUST00041,52.0,24074.05,Female,North,2021-06-05,44.0,,Month-to-month,Credit card,Canada,No
CUST00042,44.0,41021.17,Male,Northeast,2024-10-22,58.0,61.38,Month-to-month,Electronic check,USA,No
CUST00043,40.0,41047.42,Male,South,2022-09-12,3.0,88.71,Two year,Bank transfer,USA,No
CUST00044,38.0,28184.53,Male,North,2024-06-28,22.0,65.87,Month-to-month,Electronic check,USA,Yes
CUST00045,23.0,28695.08,Female,Southwest,2023-08-15,6.0,47.91,Month-to-month,Mailed check,USA,Yes
CUST00046,33.0,40783.18,Male,Pacific,2021-11-30,2.0,82.74,Month-to-month,Electronic check,USA,No
CUST00047,36.0,17605.35,Male,Northeast,2023-08-27,23.0,59.72,One year,Credit card,USA,No
CUST00048,56.0,17966.57,Male,Northeast,2022-05-26,44.0,62.06,Month-to-month,Credit card,USA,No
