customer_id,age,income,gender,region,signup_date,tenure_months,monthly_charges,contract_type,payment_method,country,churn
CUST00294,81.03142720513294,54284.59774274073,Female,South,2023-08-20,-11.69401547975998,119.4877490526394,Month-to-month,Electronic check,USA,Yes
CUST00131,42.47755737238863,11500.013624481024,Male,South,2023-08-15,26.593791824956362,130.5893038856357,One year,Electronic check,USA,No
CUST00121,37.578374497332156,5777.165196648588,Male,East,2024-06-18,26.58990443907777,98.44283123627591,Month-to-month,Electronic check,USA,No
CUST00036,74.04760900446658,15355.175753796466,Male,East,2021-05-31,28.86452278645766,115.88622749689576,One year,Mailed check,USA,No
CUST00058,61.942057200964754,35391.25512626802,Non-binary,Central,2021-05-21,-12.713413600064634,89.73102370926193,Month-to-month,Bank transfer,USA,Yes
CUST00043,47.25762461534595,70185.90805862707,Male,East,2023-07-08,-5.49926193034511,109.38960162045761,Month-to-month,Missing,USA,No
CUST00023,59.70668808134721,15025.415816430836,Female,North,2023-06-10,35.46703115022895,100.66218322123405,One year,Credit card,USA,Yes
CUST00149,57.06662435909289,29241.850234305355,Male,Pacific,2024-02-16,7.015315676172197,77.79791600197292,One year,Bank transfer,USA,Yes
CUST00102,55.02575638394333,30103.790734300674,Female,North,2021-10-14,1.3746739940128059,74.78725518750713,One year,Electronic check,USA,No
CUST00253,62.24284367785233,32386.424635488354,Male,Central,2024-09-11,6.717286731378728,131.60708579914683,Month-to-month,Bank transfer,USA,No
CUST00066,75.29363515241515,13544.996022400595,Female,Northeast,2023-08-27,22.1486904748866,81.27492423354252,Two year,Electronic check,USA,No
CUST00134,51.17962970258386,17237.334907409655,Female,North,2021-06-05,28.33895698853686,112.23834813623898,Month-to-month,Electronic check,USA,No
CUST00091,64.30131458340064,17064.651775208305,Female,North,2021-11-01,4.972177887685055,97.73836600013371,Month-to-month,Electronic check,Canada,No
CUST00071,61.56417568519197,11047.381374752891,Male,East,2023-07-04,23.81957320253582,114.36085437948304,Month-to-month,Credit card,Canada,No
CUST00240,38.67360878498904,39887.91802310789,Male,Pacific,2021-04-24,29.75486718380362,124.86100401664014,Month-to-month,Electronic check,USA,No
CUST00267,38.28963974939439,13998.39402468413,Non-binary,East,2021-05-06,13.369615524225011,64.5425011117209,Month-to-month,Credit card,USA,No
